nmc_traininginstitutecode,nmc_traininginstitutecodename,nmc_trainingtype,nmc_trainingtypename,nmc_programme,nmc_programmename,nmc_academicroute,nmc_qualificationlevel,nmc_qualificationlevelname,nmc_aeiprogrammetitle
1315,University of Chester,R,"Pre-registration nursing, Nursing Associate and SCPHN programmes ",SC1,Pre-registration nursing - Child,B Nurs (Hons),A,Apprenticeship,BN (Hons) Children's Nursing Apprenticeship
1315,University of Chester,R,"Pre-registration nursing, Nursing Associate and SCPHN programmes ",SC1,Pre-registration nursing - Child,B Nurs (Hons),F,Full Time,BN (Hons) Children's Nursing
1315,University of Chester,R,"Pre-registration nursing, Nursing Associate and SCPHN programmes ",AN1,Pre-registration nursing - Adult,B Nurs (Hons),F,Full Time,BN (Hons) Adult Nursing
,University of Chester,R,"Pre-registration nursing, Nursing Associate and SCPHN programmes ",AN1,Pre-registration nursing - Adult,B Nurs (Hons),A,Apprenticeship,BN (Hons) Adult Nursing Apprenticeship
1315,University of Chester,F         ,Prescribing ,P2,Community Practitioner Nurse Prescribing V150,Level 7,F,Full Time,Community Practitioner Nurse Prescribing V150 (L7)
,University of Chester,F         ,Prescribing ,P2,Community Practitioner Nurse Prescribing V150,Level 7,P,Part Time,Advancing Community Practitioner Nurse Prescribing V150 (level seven)
1315,University of Chester,S         ,Specialist Practice,DF3,Specialist Practitioner - District Nursing with integrated Independent and Supplementary Prescribing (V300),PG Dip,F,Full Time,Post Graduate Diploma Specialist Practice Qualification- District Nursing with integrated Independent and Supplementary Prescribing (V300)
1315,University of Chester,S         ,Specialist Practice,DF3,Specialist Practitioner - District Nursing with integrated Independent and Supplementary Prescribing (V300),PG Dip,A,Apprenticeship,Specialist Practice Qualification District Nurse (Apprenticeship)
8020,Canterbury Christ Church University,R,"Pre-registration nursing, Nursing Associate and SCPHN programmes ",MN1,Pre-registration nursing - Mental Health,BSc (Hons),F,Full Time,BSc (Hons) Nursing (Mental Health)
8020,Canterbury Christ Church University,R,"Pre-registration nursing, Nursing Associate and SCPHN programmes ",AN1,Pre-registration nursing - Adult,BSc (Hons),F,Full Time,BSc (Hons) Nursing (Adult)
8020,Canterbury Christ Church University,M,Midwifery,MW1,Pre-registration Midwifery,Level 6,A,Apprenticeship,BSc (Hons) Midwifery (Apprenticeship)
8020,Canterbury Christ Church University,M,Midwifery,MW1,Pre-registration Midwifery,Level 6,F,Full Time,BSc (Hons) Midwifery
8020,Canterbury Christ Church University,G,Return to practice ,1,Return to Practice - Nursing,Level 6,P,Part Time,Return to Practice (Mental Health Nursing)
8020,Canterbury Christ Church University,G         ,Return to practice ,1,Return to Practice - Nursing,Level 7,P,Part Time,Return to Practice (Child Nursing)
